Time,Region,Vehicle type,Glass product,value
2020,CYP,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,CYP,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,CYP,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,CYP,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,CYP,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,CYP,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,CYP,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,CYP,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,CYP,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,CYP,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,CYP,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,CYP,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,CYP,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,CYP,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,CYP,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,CYP,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,CYP,Internal Combustion Engine – Methanol,Container glass,0.0
2020,CYP,Internal Combustion Engine – Methanol,Other glass,0.0
2020,CYP,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,CYP,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,CYP,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,CYP,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,CYP,Plug in Hybrid – Gasoline,Container glass,0.0
2020,CYP,Plug in Hybrid – Gasoline,Other glass,0.0
2020,CYP,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,CYP,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,CYP,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,CYP,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,CYP,Conventional Hybrid – Gasoline,Container glass,0.0
2020,CYP,Conventional Hybrid – Gasoline,Other glass,0.0
2020,CYP,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,CYP,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,CYP,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,CZE,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,CZE,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,CZE,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,CZE,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,CZE,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,CZE,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,CZE,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,CZE,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,CZE,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,CZE,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,CZE,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,CZE,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,CZE,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,CZE,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,CZE,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,CZE,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,CZE,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,CZE,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,CZE,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,CZE,Internal Combustion Engine – Methanol,Container glass,0.0
2020,CZE,Internal Combustion Engine – Methanol,Other glass,0.0
2020,CZE,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,CZE,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,CZE,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,CZE,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,CZE,Plug in Hybrid – Gasoline,Container glass,0.0
2020,CZE,Plug in Hybrid – Gasoline,Other glass,0.0
2020,CZE,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,CZE,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,CZE,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,CZE,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,CZE,Conventional Hybrid – Gasoline,Container glass,0.0
2020,CZE,Conventional Hybrid – Gasoline,Other glass,0.0
2020,CZE,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,CZE,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,CZE,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,DEU,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,DEU,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,DEU,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,DEU,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,DEU,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,DEU,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,DEU,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,DEU,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,DEU,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,DEU,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,DEU,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,DEU,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,DEU,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,DEU,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,DEU,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,DEU,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,DEU,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,DEU,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,DEU,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,DEU,Internal Combustion Engine – Methanol,Container glass,0.0
2020,DEU,Internal Combustion Engine – Methanol,Other glass,0.0
2020,DEU,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,DEU,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,DEU,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,DEU,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,DEU,Plug in Hybrid – Gasoline,Container glass,0.0
2020,DEU,Plug in Hybrid – Gasoline,Other glass,0.0
2020,DEU,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,DEU,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,DEU,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,DEU,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,DEU,Conventional Hybrid – Gasoline,Container glass,0.0
2020,DEU,Conventional Hybrid – Gasoline,Other glass,0.0
2020,DEU,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,DEU,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,DEU,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,DNK,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,DNK,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,DNK,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,DNK,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,DNK,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,DNK,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,DNK,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,DNK,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,DNK,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,DNK,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,DNK,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,DNK,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,DNK,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,DNK,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,DNK,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,DNK,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,DNK,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,DNK,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,DNK,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,DNK,Internal Combustion Engine – Methanol,Container glass,0.0
2020,DNK,Internal Combustion Engine – Methanol,Other glass,0.0
2020,DNK,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,DNK,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,DNK,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,DNK,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,DNK,Plug in Hybrid – Gasoline,Container glass,0.0
2020,DNK,Plug in Hybrid – Gasoline,Other glass,0.0
2020,DNK,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,DNK,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,DNK,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,DNK,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,DNK,Conventional Hybrid – Gasoline,Container glass,0.0
2020,DNK,Conventional Hybrid – Gasoline,Other glass,0.0
2020,DNK,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,DNK,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,DNK,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,ESP,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,ESP,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,ESP,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,ESP,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,ESP,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,ESP,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,ESP,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,ESP,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,ESP,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,ESP,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,ESP,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,ESP,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,ESP,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,ESP,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,ESP,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,ESP,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,ESP,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,ESP,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,ESP,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,ESP,Internal Combustion Engine – Methanol,Container glass,0.0
2020,ESP,Internal Combustion Engine – Methanol,Other glass,0.0
2020,ESP,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,ESP,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,ESP,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,ESP,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,ESP,Plug in Hybrid – Gasoline,Container glass,0.0
2020,ESP,Plug in Hybrid – Gasoline,Other glass,0.0
2020,ESP,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,ESP,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,ESP,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,ESP,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,ESP,Conventional Hybrid – Gasoline,Container glass,0.0
2020,ESP,Conventional Hybrid – Gasoline,Other glass,0.0
2020,ESP,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,ESP,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,ESP,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,EST,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,EST,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,EST,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,EST,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,EST,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,EST,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,EST,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,EST,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,EST,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,EST,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,EST,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,EST,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,EST,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,EST,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,EST,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,EST,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,EST,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,EST,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,EST,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,EST,Internal Combustion Engine – Methanol,Container glass,0.0
2020,EST,Internal Combustion Engine – Methanol,Other glass,0.0
2020,EST,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,EST,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,EST,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,EST,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,EST,Plug in Hybrid – Gasoline,Container glass,0.0
2020,EST,Plug in Hybrid – Gasoline,Other glass,0.0
2020,EST,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,EST,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,EST,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,EST,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,EST,Conventional Hybrid – Gasoline,Container glass,0.0
2020,EST,Conventional Hybrid – Gasoline,Other glass,0.0
2020,EST,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,EST,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,EST,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,FIN,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,FIN,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,FIN,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,FIN,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,FIN,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,FIN,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,FIN,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,FIN,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,FIN,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,FIN,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,FIN,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,FIN,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,FIN,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,FIN,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,FIN,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,FIN,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,FIN,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,FIN,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,FIN,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,FIN,Internal Combustion Engine – Methanol,Container glass,0.0
2020,FIN,Internal Combustion Engine – Methanol,Other glass,0.0
2020,FIN,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,FIN,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,FIN,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,FIN,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,FIN,Plug in Hybrid – Gasoline,Container glass,0.0
2020,FIN,Plug in Hybrid – Gasoline,Other glass,0.0
2020,FIN,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,FIN,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,FIN,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,FIN,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,FIN,Conventional Hybrid – Gasoline,Container glass,0.0
2020,FIN,Conventional Hybrid – Gasoline,Other glass,0.0
2020,FIN,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,FIN,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,FIN,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,FRA,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,FRA,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,FRA,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,FRA,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,FRA,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,FRA,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,FRA,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,FRA,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,FRA,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,FRA,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,FRA,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,FRA,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,FRA,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,FRA,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,FRA,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,FRA,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,FRA,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,FRA,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,FRA,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,FRA,Internal Combustion Engine – Methanol,Container glass,0.0
2020,FRA,Internal Combustion Engine – Methanol,Other glass,0.0
2020,FRA,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,FRA,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,FRA,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,FRA,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,FRA,Plug in Hybrid – Gasoline,Container glass,0.0
2020,FRA,Plug in Hybrid – Gasoline,Other glass,0.0
2020,FRA,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,FRA,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,FRA,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,FRA,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,FRA,Conventional Hybrid – Gasoline,Container glass,0.0
2020,FRA,Conventional Hybrid – Gasoline,Other glass,0.0
2020,FRA,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,FRA,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,FRA,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,GBR,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,GBR,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,GBR,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,GBR,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,GBR,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,GBR,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,GBR,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
