Region;Product;Year;value
AUT;Transport concrete (reinforced);2047;0
AUT;Transport concrete (reinforced);2048;0
AUT;Transport concrete (reinforced);2049;0
AUT;Transport concrete (reinforced);2050;0
AUT;Precast concrete (reinforced);2020;0
AUT;Precast concrete (reinforced);2021;0
AUT;Precast concrete (reinforced);2022;0
AUT;Precast concrete (reinforced);2023;0
AUT;Precast concrete (reinforced);2024;0
AUT;Precast concrete (reinforced);2025;0
AUT;Precast concrete (reinforced);2026;0
AUT;Precast concrete (reinforced);2027;0
AUT;Precast concrete (reinforced);2028;0
AUT;Precast concrete (reinforced);2029;0
AUT;Precast concrete (reinforced);2030;0
AUT;Precast concrete (reinforced);2031;0
AUT;Precast concrete (reinforced);2032;0
AUT;Precast concrete (reinforced);2033;0
AUT;Precast concrete (reinforced);2034;0
AUT;Precast concrete (reinforced);2035;0
AUT;Precast concrete (reinforced);2036;0
AUT;Precast concrete (reinforced);2037;0
AUT;Precast concrete (reinforced);2038;0
AUT;Precast concrete (reinforced);2039;0
AUT;Precast concrete (reinforced);2040;0
AUT;Precast concrete (reinforced);2041;0
AUT;Precast concrete (reinforced);2042;0
AUT;Precast concrete (reinforced);2043;0
AUT;Precast concrete (reinforced);2044;0
AUT;Precast concrete (reinforced);2045;0
AUT;Precast concrete (reinforced);2046;0
AUT;Precast concrete (reinforced);2047;0
AUT;Precast concrete (reinforced);2048;0
AUT;Precast concrete (reinforced);2049;0
AUT;Precast concrete (reinforced);2050;0
BEL;Transport concrete (not reinforced);2020;0
BEL;Transport concrete (not reinforced);2021;0
BEL;Transport concrete (not reinforced);2022;0
BEL;Transport concrete (not reinforced);2023;0
BEL;Transport concrete (not reinforced);2024;0
BEL;Transport concrete (not reinforced);2025;0
BEL;Transport concrete (not reinforced);2026;0
BEL;Transport concrete (not reinforced);2027;0
BEL;Transport concrete (not reinforced);2028;0
BEL;Transport concrete (not reinforced);2029;0
BEL;Transport concrete (not reinforced);2030;0
BEL;Transport concrete (not reinforced);2031;0
BEL;Transport concrete (not reinforced);2032;0
BEL;Transport concrete (not reinforced);2033;0
BEL;Transport concrete (not reinforced);2034;0
BEL;Transport concrete (not reinforced);2035;0
BEL;Transport concrete (not reinforced);2036;0
BEL;Transport concrete (not reinforced);2037;0
BEL;Transport concrete (not reinforced);2038;0
BEL;Transport concrete (not reinforced);2039;0
BEL;Transport concrete (not reinforced);2040;0
BEL;Transport concrete (not reinforced);2041;0
BEL;Transport concrete (not reinforced);2042;0
BEL;Transport concrete (not reinforced);2043;0
BEL;Transport concrete (not reinforced);2044;0
BEL;Transport concrete (not reinforced);2045;0
BEL;Transport concrete (not reinforced);2046;0
BEL;Transport concrete (not reinforced);2047;0
BEL;Transport concrete (not reinforced);2048;0
BEL;Transport concrete (not reinforced);2049;0
BEL;Transport concrete (not reinforced);2050;0
BEL;Precast concrete (not reinforced);2020;0
BEL;Precast concrete (not reinforced);2021;0
BEL;Precast concrete (not reinforced);2022;0
BEL;Precast concrete (not reinforced);2023;0
BEL;Precast concrete (not reinforced);2024;0
BEL;Precast concrete (not reinforced);2025;0
BEL;Precast concrete (not reinforced);2026;0
BEL;Precast concrete (not reinforced);2027;0
BEL;Precast concrete (not reinforced);2028;0
BEL;Precast concrete (not reinforced);2029;0
BEL;Precast concrete (not reinforced);2030;0
BEL;Precast concrete (not reinforced);2031;0
BEL;Precast concrete (not reinforced);2032;0
BEL;Precast concrete (not reinforced);2033;0
BEL;Precast concrete (not reinforced);2034;0
BEL;Precast concrete (not reinforced);2035;0
BEL;Precast concrete (not reinforced);2036;0
BEL;Precast concrete (not reinforced);2037;0
BEL;Precast concrete (not reinforced);2038;0
BEL;Precast concrete (not reinforced);2039;0
BEL;Precast concrete (not reinforced);2040;0
BEL;Precast concrete (not reinforced);2041;0
BEL;Precast concrete (not reinforced);2042;0
BEL;Precast concrete (not reinforced);2043;0
BEL;Precast concrete (not reinforced);2044;0
BEL;Precast concrete (not reinforced);2045;0
BEL;Precast concrete (not reinforced);2046;0
BEL;Precast concrete (not reinforced);2047;0
BEL;Precast concrete (not reinforced);2048;0
BEL;Precast concrete (not reinforced);2049;0
BEL;Precast concrete (not reinforced);2050;0
BEL;Transport concrete (reinforced);2020;0
BEL;Transport concrete (reinforced);2021;0
BEL;Transport concrete (reinforced);2022;0
BEL;Transport concrete (reinforced);2023;0
BEL;Transport concrete (reinforced);2024;0
BEL;Transport concrete (reinforced);2025;0
BEL;Transport concrete (reinforced);2026;0
BEL;Transport concrete (reinforced);2027;0
BEL;Transport concrete (reinforced);2028;0
BEL;Transport concrete (reinforced);2029;0
BEL;Transport concrete (reinforced);2030;0
BEL;Transport concrete (reinforced);2031;0
BEL;Transport concrete (reinforced);2032;0
BEL;Transport concrete (reinforced);2033;0
BEL;Transport concrete (reinforced);2034;0
BEL;Transport concrete (reinforced);2035;0
BEL;Transport concrete (reinforced);2036;0
BEL;Transport concrete (reinforced);2037;0
BEL;Transport concrete (reinforced);2038;0
BEL;Transport concrete (reinforced);2039;0
BEL;Transport concrete (reinforced);2040;0
BEL;Transport concrete (reinforced);2041;0
BEL;Transport concrete (reinforced);2042;0
BEL;Transport concrete (reinforced);2043;0
BEL;Transport concrete (reinforced);2044;0
BEL;Transport concrete (reinforced);2045;0
BEL;Transport concrete (reinforced);2046;0
BEL;Transport concrete (reinforced);2047;0
BEL;Transport concrete (reinforced);2048;0
BEL;Transport concrete (reinforced);2049;0
BEL;Transport concrete (reinforced);2050;0
BEL;Precast concrete (reinforced);2020;0
BEL;Precast concrete (reinforced);2021;0
BEL;Precast concrete (reinforced);2022;0
BEL;Precast concrete (reinforced);2023;0
BEL;Precast concrete (reinforced);2024;0
BEL;Precast concrete (reinforced);2025;0
BEL;Precast concrete (reinforced);2026;0
BEL;Precast concrete (reinforced);2027;0
BEL;Precast concrete (reinforced);2028;0
BEL;Precast concrete (reinforced);2029;0
BEL;Precast concrete (reinforced);2030;0
BEL;Precast concrete (reinforced);2031;0
BEL;Precast concrete (reinforced);2032;0
BEL;Precast concrete (reinforced);2033;0
BEL;Precast concrete (reinforced);2034;0
BEL;Precast concrete (reinforced);2035;0
BEL;Precast concrete (reinforced);2036;0
BEL;Precast concrete (reinforced);2037;0
BEL;Precast concrete (reinforced);2038;0
BEL;Precast concrete (reinforced);2039;0
BEL;Precast concrete (reinforced);2040;0
BEL;Precast concrete (reinforced);2041;0
BEL;Precast concrete (reinforced);2042;0
BEL;Precast concrete (reinforced);2043;0
BEL;Precast concrete (reinforced);2044;0
BEL;Precast concrete (reinforced);2045;0
BEL;Precast concrete (reinforced);2046;0
BEL;Precast concrete (reinforced);2047;0
BEL;Precast concrete (reinforced);2048;0
BEL;Precast concrete (reinforced);2049;0
BEL;Precast concrete (reinforced);2050;0
BGR;Transport concrete (not reinforced);2020;0
BGR;Transport concrete (not reinforced);2021;0
BGR;Transport concrete (not reinforced);2022;0
BGR;Transport concrete (not reinforced);2023;0
BGR;Transport concrete (not reinforced);2024;0
BGR;Transport concrete (not reinforced);2025;0
BGR;Transport concrete (not reinforced);2026;0
BGR;Transport concrete (not reinforced);2027;0
BGR;Transport concrete (not reinforced);2028;0
BGR;Transport concrete (not reinforced);2029;0
BGR;Transport concrete (not reinforced);2030;0
BGR;Transport concrete (not reinforced);2031;0
BGR;Transport concrete (not reinforced);2032;0
BGR;Transport concrete (not reinforced);2033;0
BGR;Transport concrete (not reinforced);2034;0
BGR;Transport concrete (not reinforced);2035;0
BGR;Transport concrete (not reinforced);2036;0
BGR;Transport concrete (not reinforced);2037;0
BGR;Transport concrete (not reinforced);2038;0
BGR;Transport concrete (not reinforced);2039;0
BGR;Transport concrete (not reinforced);2040;0
BGR;Transport concrete (not reinforced);2041;0
BGR;Transport concrete (not reinforced);2042;0
BGR;Transport concrete (not reinforced);2043;0
BGR;Transport concrete (not reinforced);2044;0
BGR;Transport concrete (not reinforced);2045;0
BGR;Transport concrete (not reinforced);2046;0
BGR;Transport concrete (not reinforced);2047;0
BGR;Transport concrete (not reinforced);2048;0
BGR;Transport concrete (not reinforced);2049;0
BGR;Transport concrete (not reinforced);2050;0
BGR;Precast concrete (not reinforced);2020;0
BGR;Precast concrete (not reinforced);2021;0
BGR;Precast concrete (not reinforced);2022;0
BGR;Precast concrete (not reinforced);2023;0
BGR;Precast concrete (not reinforced);2024;0
BGR;Precast concrete (not reinforced);2025;0
BGR;Precast concrete (not reinforced);2026;0
BGR;Precast concrete (not reinforced);2027;0
BGR;Precast concrete (not reinforced);2028;0
BGR;Precast concrete (not reinforced);2029;0
BGR;Precast concrete (not reinforced);2030;0
BGR;Precast concrete (not reinforced);2031;0
BGR;Precast concrete (not reinforced);2032;0
BGR;Precast concrete (not reinforced);2033;0
BGR;Precast concrete (not reinforced);2034;0
BGR;Precast concrete (not reinforced);2035;0
BGR;Precast concrete (not reinforced);2036;0
BGR;Precast concrete (not reinforced);2037;0
BGR;Precast concrete (not reinforced);2038;0
BGR;Precast concrete (not reinforced);2039;0
BGR;Precast concrete (not reinforced);2040;0
BGR;Precast concrete (not reinforced);2041;0
BGR;Precast concrete (not reinforced);2042;0
BGR;Precast concrete (not reinforced);2043;0
BGR;Precast concrete (not reinforced);2044;0
BGR;Precast concrete (not reinforced);2045;0
BGR;Precast concrete (not reinforced);2046;0
BGR;Precast concrete (not reinforced);2047;0
BGR;Precast concrete (not reinforced);2048;0
BGR;Precast concrete (not reinforced);2049;0
BGR;Precast concrete (not reinforced);2050;0
BGR;Transport concrete (reinforced);2020;0
BGR;Transport concrete (reinforced);2021;0
BGR;Transport concrete (reinforced);2022;0
BGR;Transport concrete (reinforced);2023;0
BGR;Transport concrete (reinforced);2024;0
BGR;Transport concrete (reinforced);2025;0
BGR;Transport concrete (reinforced);2026;0
BGR;Transport concrete (reinforced);2027;0
BGR;Transport concrete (reinforced);2028;0
BGR;Transport concrete (reinforced);2029;0
BGR;Transport concrete (reinforced);2030;0
BGR;Transport concrete (reinforced);2031;0
BGR;Transport concrete (reinforced);2032;0
BGR;Transport concrete (reinforced);2033;0
BGR;Transport concrete (reinforced);2034;0
BGR;Transport concrete (reinforced);2035;0
BGR;Transport concrete (reinforced);2036;0
BGR;Transport concrete (reinforced);2037;0
BGR;Transport concrete (reinforced);2038;0
BGR;Transport concrete (reinforced);2039;0
BGR;Transport concrete (reinforced);2040;0
BGR;Transport concrete (reinforced);2041;0
BGR;Transport concrete (reinforced);2042;0
BGR;Transport concrete (reinforced);2043;0
BGR;Transport concrete (reinforced);2044;0
BGR;Transport concrete (reinforced);2045;0
BGR;Transport concrete (reinforced);2046;0
BGR;Transport concrete (reinforced);2047;0
BGR;Transport concrete (reinforced);2048;0
BGR;Transport concrete (reinforced);2049;0
BGR;Transport concrete (reinforced);2050;0
BGR;Precast concrete (reinforced);2020;0
BGR;Precast concrete (reinforced);2021;0
BGR;Precast concrete (reinforced);2022;0
BGR;Precast concrete (reinforced);2023;0
BGR;Precast concrete (reinforced);2024;0
BGR;Precast concrete (reinforced);2025;0
BGR;Precast concrete (reinforced);2026;0
BGR;Precast concrete (reinforced);2027;0
BGR;Precast concrete (reinforced);2028;0
BGR;Precast concrete (reinforced);2029;0
BGR;Precast concrete (reinforced);2030;0
BGR;Precast concrete (reinforced);2031;0
BGR;Precast concrete (reinforced);2032;0
BGR;Precast concrete (reinforced);2033;0
BGR;Precast concrete (reinforced);2034;0
BGR;Precast concrete (reinforced);2035;0
BGR;Precast concrete (reinforced);2036;0
BGR;Precast concrete (reinforced);2037;0
BGR;Precast concrete (reinforced);2038;0
BGR;Precast concrete (reinforced);2039;0
BGR;Precast concrete (reinforced);2040;0
BGR;Precast concrete (reinforced);2041;0
BGR;Precast concrete (reinforced);2042;0
BGR;Precast concrete (reinforced);2043;0
BGR;Precast concrete (reinforced);2044;0
BGR;Precast concrete (reinforced);2045;0
BGR;Precast concrete (reinforced);2046;0
BGR;Precast concrete (reinforced);2047;0
BGR;Precast concrete (reinforced);2048;0
BGR;Precast concrete (reinforced);2049;0
BGR;Precast concrete (reinforced);2050;0
CYP;Transport concrete (not reinforced);2020;0
CYP;Transport concrete (not reinforced);2021;0
CYP;Transport concrete (not reinforced);2022;0
CYP;Transport concrete (not reinforced);2023;0
CYP;Transport concrete (not reinforced);2024;0
CYP;Transport concrete (not reinforced);2025;0
CYP;Transport concrete (not reinforced);2026;0
CYP;Transport concrete (not reinforced);2027;0
CYP;Transport concrete (not reinforced);2028;0
CYP;Transport concrete (not reinforced);2029;0
CYP;Transport concrete (not reinforced);2030;0
CYP;Transport concrete (not reinforced);2031;0
CYP;Transport concrete (not reinforced);2032;0
CYP;Transport concrete (not reinforced);2033;0
CYP;Transport concrete (not reinforced);2034;0
CYP;Transport concrete (not reinforced);2035;0
CYP;Transport concrete (not reinforced);2036;0
CYP;Transport concrete (not reinforced);2037;0
CYP;Transport concrete (not reinforced);2038;0
CYP;Transport concrete (not reinforced);2039;0
CYP;Transport concrete (not reinforced);2040;0
CYP;Transport concrete (not reinforced);2041;0
CYP;Transport concrete (not reinforced);2042;0
CYP;Transport concrete (not reinforced);2043;0
CYP;Transport concrete (not reinforced);2044;0
CYP;Transport concrete (not reinforced);2045;0
CYP;Transport concrete (not reinforced);2046;0
CYP;Transport concrete (not reinforced);2047;0
CYP;Transport concrete (not reinforced);2048;0
CYP;Transport concrete (not reinforced);2049;0
CYP;Transport concrete (not reinforced);2050;0
CYP;Precast concrete (not reinforced);2020;0
CYP;Precast concrete (not reinforced);2021;0
CYP;Precast concrete (not reinforced);2022;0
CYP;Precast concrete (not reinforced);2023;0
CYP;Precast concrete (not reinforced);2024;0
CYP;Precast concrete (not reinforced);2025;0
CYP;Precast concrete (not reinforced);2026;0
CYP;Precast concrete (not reinforced);2027;0
CYP;Precast concrete (not reinforced);2028;0
CYP;Precast concrete (not reinforced);2029;0
CYP;Precast concrete (not reinforced);2030;0
CYP;Precast concrete (not reinforced);2031;0
CYP;Precast concrete (not reinforced);2032;0
CYP;Precast concrete (not reinforced);2033;0
CYP;Precast concrete (not reinforced);2034;0
CYP;Precast concrete (not reinforced);2035;0
CYP;Precast concrete (not reinforced);2036;0
CYP;Precast concrete (not reinforced);2037;0
CYP;Precast concrete (not reinforced);2038;0
CYP;Precast concrete (not reinforced);2039;0
CYP;Precast concrete (not reinforced);2040;0
CYP;Precast concrete (not reinforced);2041;0
CYP;Precast concrete (not reinforced);2042;0
CYP;Precast concrete (not reinforced);2043;0
CYP;Precast concrete (not reinforced);2044;0
CYP;Precast concrete (not reinforced);2045;0
CYP;Precast concrete (not reinforced);2046;0
CYP;Precast concrete (not reinforced);2047;0
CYP;Precast concrete (not reinforced);2048;0
CYP;Precast concrete (not reinforced);2049;0
CYP;Precast concrete (not reinforced);2050;0
CYP;Transport concrete (reinforced);2020;0
CYP;Transport concrete (reinforced);2021;0
CYP;Transport concrete (reinforced);2022;0
CYP;Transport concrete (reinforced);2023;0
CYP;Transport concrete (reinforced);2024;0
CYP;Transport concrete (reinforced);2025;0
CYP;Transport concrete (reinforced);2026;0
CYP;Transport concrete (reinforced);2027;0
CYP;Transport concrete (reinforced);2028;0
CYP;Transport concrete (reinforced);2029;0
CYP;Transport concrete (reinforced);2030;0
CYP;Transport concrete (reinforced);2031;0
CYP;Transport concrete (reinforced);2032;0
CYP;Transport concrete (reinforced);2033;0
CYP;Transport concrete (reinforced);2034;0
CYP;Transport concrete (reinforced);2035;0
CYP;Transport concrete (reinforced);2036;0
CYP;Transport concrete (reinforced);2037;0
CYP;Transport concrete (reinforced);2038;0
CYP;Transport concrete (reinforced);2039;0
CYP;Transport concrete (reinforced);2040;0
CYP;Transport concrete (reinforced);2041;0
CYP;Transport concrete (reinforced);2042;0
CYP;Transport concrete (reinforced);2043;0
CYP;Transport concrete (reinforced);2044;0
CYP;Transport concrete (reinforced);2045;0
CYP;Transport concrete (reinforced);2046;0
CYP;Transport concrete (reinforced);2047;0
CYP;Transport concrete (reinforced);2048;0
CYP;Transport concrete (reinforced);2049;0
CYP;Transport concrete (reinforced);2050;0
CYP;Precast concrete (reinforced);2020;0
CYP;Precast concrete (reinforced);2021;0
CYP;Precast concrete (reinforced);2022;0
CYP;Precast concrete (reinforced);2023;0
CYP;Precast concrete (reinforced);2024;0
CYP;Precast concrete (reinforced);2025;0
CYP;Precast concrete (reinforced);2026;0
CYP;Precast concrete (reinforced);2027;0
CYP;Precast concrete (reinforced);2028;0
CYP;Precast concrete (reinforced);2029;0
CYP;Precast concrete (reinforced);2030;0
CYP;Precast concrete (reinforced);2031;0
CYP;Precast concrete (reinforced);2032;0
CYP;Precast concrete (reinforced);2033;0
CYP;Precast concrete (reinforced);2034;0
CYP;Precast concrete (reinforced);2035;0
CYP;Precast concrete (reinforced);2036;0
CYP;Precast concrete (reinforced);2037;0
CYP;Precast concrete (reinforced);2038;0
CYP;Precast concrete (reinforced);2039;0
CYP;Precast concrete (reinforced);2040;0
CYP;Precast concrete (reinforced);2041;0
CYP;Precast concrete (reinforced);2042;0
CYP;Precast concrete (reinforced);2043;0
CYP;Precast concrete (reinforced);2044;0
CYP;Precast concrete (reinforced);2045;0
CYP;Precast concrete (reinforced);2046;0
CYP;Precast concrete (reinforced);2047;0
CYP;Precast concrete (reinforced);2048;0
CYP;Precast concrete (reinforced);2049;0
CYP;Precast concrete (reinforced);2050;0
CZE;Transport concrete (not reinforced);2020;0
CZE;Transport concrete (not reinforced);2021;0
CZE;Transport concrete (not reinforced);2022;0
CZE;Transport concrete (not reinforced);2023;0
CZE;Transport concrete (not reinforced);2024;0
CZE;Transport concrete (not reinforced);2025;0
CZE;Transport concrete (not reinforced);2026;0
CZE;Transport concrete (not reinforced);2027;0
CZE;Transport concrete (not reinforced);2028;0
CZE;Transport concrete (not reinforced);2029;0
CZE;Transport concrete (not reinforced);2030;0
CZE;Transport concrete (not reinforced);2031;0
CZE;Transport concrete (not reinforced);2032;0
CZE;Transport concrete (not reinforced);2033;0
CZE;Transport concrete (not reinforced);2034;0
CZE;Transport concrete (not reinforced);2035;0
CZE;Transport concrete (not reinforced);2036;0
CZE;Transport concrete (not reinforced);2037;0
CZE;Transport concrete (not reinforced);2038;0
CZE;Transport concrete (not reinforced);2039;0
CZE;Transport concrete (not reinforced);2040;0
CZE;Transport concrete (not reinforced);2041;0
CZE;Transport concrete (not reinforced);2042;0
CZE;Transport concrete (not reinforced);2043;0
CZE;Transport concrete (not reinforced);2044;0
CZE;Transport concrete (not reinforced);2045;0
CZE;Transport concrete (not reinforced);2046;0
CZE;Transport concrete (not reinforced);2047;0
CZE;Transport concrete (not reinforced);2048;0
CZE;Transport concrete (not reinforced);2049;0
CZE;Transport concrete (not reinforced);2050;0
CZE;Precast concrete (not reinforced);2020;0
CZE;Precast concrete (not reinforced);2021;0
CZE;Precast concrete (not reinforced);2022;0
CZE;Precast concrete (not reinforced);2023;0
CZE;Precast concrete (not reinforced);2024;0
CZE;Precast concrete (not reinforced);2025;0
CZE;Precast concrete (not reinforced);2026;0
CZE;Precast concrete (not reinforced);2027;0
CZE;Precast concrete (not reinforced);2028;0
CZE;Precast concrete (not reinforced);2029;0
CZE;Precast concrete (not reinforced);2030;0
CZE;Precast concrete (not reinforced);2031;0
CZE;Precast concrete (not reinforced);2032;0
CZE;Precast concrete (not reinforced);2033;0
CZE;Precast concrete (not reinforced);2034;0
CZE;Precast concrete (not reinforced);2035;0
CZE;Precast concrete (not reinforced);2036;0
CZE;Precast concrete (not reinforced);2037;0
CZE;Precast concrete (not reinforced);2038;0
CZE;Precast concrete (not reinforced);2039;0
CZE;Precast concrete (not reinforced);2040;0
CZE;Precast concrete (not reinforced);2041;0
CZE;Precast concrete (not reinforced);2042;0
CZE;Precast concrete (not reinforced);2043;0
CZE;Precast concrete (not reinforced);2044;0
CZE;Precast concrete (not reinforced);2045;0
CZE;Precast concrete (not reinforced);2046;0
CZE;Precast concrete (not reinforced);2047;0
CZE;Precast concrete (not reinforced);2048;0
CZE;Precast concrete (not reinforced);2049;0
CZE;Precast concrete (not reinforced);2050;0
CZE;Transport concrete (reinforced);2020;0
CZE;Transport concrete (reinforced);2021;0
CZE;Transport concrete (reinforced);2022;0
CZE;Transport concrete (reinforced);2023;0
CZE;Transport concrete (reinforced);2024;0
CZE;Transport concrete (reinforced);2025;0
CZE;Transport concrete (reinforced);2026;0
CZE;Transport concrete (reinforced);2027;0
CZE;Transport concrete (reinforced);2028;0
CZE;Transport concrete (reinforced);2029;0
CZE;Transport concrete (reinforced);2030;0
CZE;Transport concrete (reinforced);2031;0
CZE;Transport concrete (reinforced);2032;0
CZE;Transport concrete (reinforced);2033;0
CZE;Transport concrete (reinforced);2034;0
CZE;Transport concrete (reinforced);2035;0
CZE;Transport concrete (reinforced);2036;0
CZE;Transport concrete (reinforced);2037;0
CZE;Transport concrete (reinforced);2038;0
CZE;Transport concrete (reinforced);2039;0
CZE;Transport concrete (reinforced);2040;0
CZE;Transport concrete (reinforced);2041;0
CZE;Transport concrete (reinforced);2042;0
CZE;Transport concrete (reinforced);2043;0
CZE;Transport concrete (reinforced);2044;0
CZE;Transport concrete (reinforced);2045;0
CZE;Transport concrete (reinforced);2046;0
CZE;Transport concrete (reinforced);2047;0
CZE;Transport concrete (reinforced);2048;0
CZE;Transport concrete (reinforced);2049;0
CZE;Transport concrete (reinforced);2050;0
CZE;Precast concrete (reinforced);2020;0
CZE;Precast concrete (reinforced);2021;0
CZE;Precast concrete (reinforced);2022;0
CZE;Precast concrete (reinforced);2023;0
CZE;Precast concrete (reinforced);2024;0
CZE;Precast concrete (reinforced);2025;0
CZE;Precast concrete (reinforced);2026;0
CZE;Precast concrete (reinforced);2027;0
CZE;Precast concrete (reinforced);2028;0
CZE;Precast concrete (reinforced);2029;0
CZE;Precast concrete (reinforced);2030;0
CZE;Precast concrete (reinforced);2031;0
CZE;Precast concrete (reinforced);2032;0
CZE;Precast concrete (reinforced);2033;0
CZE;Precast concrete (reinforced);2034;0
CZE;Precast concrete (reinforced);2035;0
CZE;Precast concrete (reinforced);2036;0
CZE;Precast concrete (reinforced);2037;0
CZE;Precast concrete (reinforced);2038;0
CZE;Precast concrete (reinforced);2039;0
CZE;Precast concrete (reinforced);2040;0
CZE;Precast concrete (reinforced);2041;0
CZE;Precast concrete (reinforced);2042;0
CZE;Precast concrete (reinforced);2043;0
CZE;Precast concrete (reinforced);2044;0
CZE;Precast concrete (reinforced);2045;0
CZE;Precast concrete (reinforced);2046;0
CZE;Precast concrete (reinforced);2047;0
CZE;Precast concrete (reinforced);2048;0
CZE;Precast concrete (reinforced);2049;0
CZE;Precast concrete (reinforced);2050;0
DEU;Transport concrete (not reinforced);2020;0
DEU;Transport concrete (not reinforced);2021;0
DEU;Transport concrete (not reinforced);2022;0
DEU;Transport concrete (not reinforced);2023;0
DEU;Transport concrete (not reinforced);2024;0
DEU;Transport concrete (not reinforced);2025;0
DEU;Transport concrete (not reinforced);2026;0
DEU;Transport concrete (not reinforced);2027;0
DEU;Transport concrete (not reinforced);2028;0
DEU;Transport concrete (not reinforced);2029;0
DEU;Transport concrete (not reinforced);2030;0
DEU;Transport concrete (not reinforced);2031;0
DEU;Transport concrete (not reinforced);2032;0
DEU;Transport concrete (not reinforced);2033;0
DEU;Transport concrete (not reinforced);2034;0
DEU;Transport concrete (not reinforced);2035;0
DEU;Transport concrete (not reinforced);2036;0
DEU;Transport concrete (not reinforced);2037;0
DEU;Transport concrete (not reinforced);2038;0
DEU;Transport concrete (not reinforced);2039;0
DEU;Transport concrete (not reinforced);2040;0
DEU;Transport concrete (not reinforced);2041;0
DEU;Transport concrete (not reinforced);2042;0
DEU;Transport concrete (not reinforced);2043;0
DEU;Transport concrete (not reinforced);2044;0
DEU;Transport concrete (not reinforced);2045;0
DEU;Transport concrete (not reinforced);2046;0
DEU;Transport concrete (not reinforced);2047;0
DEU;Transport concrete (not reinforced);2048;0
