Vehicle size,Vehicle type,Glass product,Value
minivan_SUV,Conventional Hybrid – Gasoline,Other glass,0
minivan_SUV,Conventional Hybrid – Diesel Oil,Flat glass,32
minivan_SUV,Conventional Hybrid – Diesel Oil,Container glass,0
minivan_SUV,Conventional Hybrid – Diesel Oil,Other glass,0
light truck,Internal Combustion Engine – Gasoline,Flat glass,32
light truck,Internal Combustion Engine – Gasoline,Container glass,0
light truck,Internal Combustion Engine – Gasoline,Other glass,0
light truck,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,32
light truck,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0
light truck,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0
light truck,Internal Combustion Engine – Diesel Oil,Flat glass,32
light truck,Internal Combustion Engine – Diesel Oil,Container glass,0
light truck,Internal Combustion Engine – Diesel Oil,Other glass,0
light truck,Internal Combustion Engine – Natural Gas,Flat glass,32
light truck,Internal Combustion Engine – Natural Gas,Container glass,0
light truck,Internal Combustion Engine – Natural Gas,Other glass,0
light truck,Internal Combustion Engine – Ethanol,Flat glass,32
light truck,Internal Combustion Engine – Ethanol,Container glass,0
light truck,Internal Combustion Engine – Ethanol,Other glass,0
light truck,Internal Combustion Engine – Biodiesel,Flat glass,32
light truck,Internal Combustion Engine – Biodiesel,Container glass,0
light truck,Internal Combustion Engine – Biodiesel,Other glass,0
light truck,Internal Combustion Engine – Methanol,Flat glass,32
light truck,Internal Combustion Engine – Methanol,Container glass,0
light truck,Internal Combustion Engine – Methanol,Other glass,0
light truck,Electric Vehicle/Pure Electric Engine,Flat glass,32
light truck,Electric Vehicle/Pure Electric Engine,Container glass,0
light truck,Electric Vehicle/Pure Electric Engine,Other glass,0
light truck,Plug in Hybrid – Gasoline,Flat glass,32
light truck,Plug in Hybrid – Gasoline,Container glass,0
light truck,Plug in Hybrid – Gasoline,Other glass,0
light truck,Plug in Hybrid – Diesel Oil,Flat glass,32
light truck,Plug in Hybrid – Diesel Oil,Container glass,0
light truck,Plug in Hybrid – Diesel Oil,Other glass,0
light truck,Conventional Hybrid – Gasoline,Flat glass,32
light truck,Conventional Hybrid – Gasoline,Container glass,0
light truck,Conventional Hybrid – Gasoline,Other glass,0
light truck,Conventional Hybrid – Diesel Oil,Flat glass,32
light truck,Conventional Hybrid – Diesel Oil,Container glass,0
light truck,Conventional Hybrid – Diesel Oil,Other glass,0
