"EU27+3 divided into five regions:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West (BENELUX + British Isles): BE, IE, LU, NL, UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South: CH, CY, ES, FR (metropolitan), EL, IT, MT, PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North: DK, FI, NO, SE, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East: AT, BG, CZ, EE, HR, HU, LT, LV, PL, RO, SI, SK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany (DE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"data in red is gap-filled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","historic","future","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","data <--","data -->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West",81445982,81861515,82335187,82683258,82940678,83139320,83343350,83462675,83584508,83753180,83987237,84213179,84303306,84364612,84498708,84701443,84908547,85138536,85357717,85619250,85883598,86240996,86599833,86920828,87213555,87501435,87763188,88048450,88356488,88713018,89099446,89522053,89998326,90462301,90932023,91506330,92143195,92832110,93585476,94296032,94976585,95761690,96415465,96969709,97548864,98231978,98971816,99652426,100285646,100902928,101546115,99454247.6431373,100309674.45912379,101165101.27511029,102020528.09109679,102875954.90708327,103731381.72306976,104586808.53905627,105442235.35504276,106297662.17102925,107153088.98701571,107750828.91129823,108348568.83558074,108946308.75986326,109544048.68414578,110141788.60842831,110739528.53271084,111337268.45699334,111935008.38127586,112532748.30555838,113130488.22984089,113562606.69315045,113994725.15646,114426843.61976957,114858962.08307913,115291080.54638869,115723199.00969824,116155317.4730078,116587435.93631735,117019554.39962691,117451672.86293653,"",""
"South",162362453,163596380,164723521,166069758,167260653,168491571,169873875,170955565,171969299,172982978,173889196,174828755,175598166,176330384,176849371,177415846,177890323,178352126,178817192,179325099,179840409,180415565,181063602,181737006,182304826,182822152,183317646,183806238,184329654,184836488,185520253,186352591,187347460,188845416,190449099,192149776,193598762,195044515,196848615,198273039,199153738,199923195,200451420,200929333,201590589.2547569,201805758.312544,201948781.3703312,202310894.4281184,202668506.4859056,202627578.5436927,203244639.6014799,203230477.6592671,203572001.27310836,203913524.88694966,204255048.50079095,204596572.1146322,204938095.72847348,205279619.34231475,205621142.95615605,205962666.56999734,206304190.1838387,206399268.18682134,206494346.189804,206589424.1927865,206684502.19576916,206779580.1987518,206874658.20173442,206969736.2047171,207064814.2076996,207159892.21068224,207254970.21366483,207113745.98024032,206972521.74681574,206831297.51339126,206690073.2799667,206548849.04654217,206407624.81311765,206266400.57969308,206125176.3462686,205983952.11284405,205842727.87941945,"",""
"North",21388785,21518469,21634776,21738334,21831398,21930769,22011333,22082061,22162070,22220020,22275351,22322074,22361406,22408178,22446918,22493334,22544263,22607478,22680234,22763711,22869947,22985407,23108882,23226776,23344478,23479263,23575306,23644654,23707433,23772874,23841245,23916555,23996449,24082842,24170499,24265771,24371010,24518430,24696373,24893364,25085046,25271779,25450508,25636470,25831339,26045316,26256297,26505536,26710181,26882397,27043224,27144502,27278138.22222222,27411774.44444444,27545410.666666664,27679046.888888884,27812683.111111104,27946319.33333333,28079955.55555555,28213591.77777777,28347228,28439602.3,28531976.6,28624350.9,28716725.2,28809099.5,28901473.799999997,28993848.099999998,29086222.4,29178596.7,29270971,29343282.099999998,29415593.199999996,29487904.299999997,29560215.4,29632526.5,29704837.6,29777148.7,29849459.799999997,29921770.899999995,29994082,"",""
"East",106438568,106764693,107506780,108295941,109101642,109976262,110902679,111780501,112590120,113193278,113802797,114378696,115017504,115591529,116127962,116671048,117135489,117652429,118089588,118454519,118387892,118454058,117994651,117909672,117985436,117929982,117695057,117475359,117304746,117125509,116590778,116184536,115221744,114868197,114627291,114387455,114155080,113930860,113407070,113242035,112903376,112668170,112441976,112291645,112093016,111988998,111820945,111637124,111448801,111315187,111245627,110947508,110595430.77777778,110243353.55555557,109891276.33333333,109539199.1111111,109187121.88888891,108835044.66666667,108482967.44444445,108130890.22222224,107778813,107378669.2,106978525.4,106578381.59999998,106178237.79999998,105778093.99999999,105377950.19999996,104977806.39999996,104577662.59999996,104177518.79999998,103777375,103377560,102977745,102577930,102178115,101778300,101378484.99999999,100978669.99999999,100578854.99999999,100179039.99999999,99779225,"",""
"DE",78269095,78069482,78556202,78820701,79052630,78882235,78464873,78209026,78110602,78073038,78179662,78397490,78418324,78248407,78008156,77709213,77660533,77780338,77899502,78389735,79112831,79753227,80274564,80974632,81338093,81538603,81817499,82012162,82057379,82037011,82163475,82259540,82440309,82536680,82531671,82500849,82437995,82314906,82217837,82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83188216.1111111,83221401.22222221,83254586.33333331,83287771.44444442,83320956.55555552,83354141.66666663,83387326.77777773,83420511.88888884,83453697,83426169.9,83398642.80000001,83371115.70000002,83343588.60000002,83316061.50000003,83288534.40000004,83261007.30000004,83233480.20000005,83205953.10000005,83178426,83127555.8,83076685.6,83025815.39999999,82974945.19999999,82924074.99999999,82873204.79999998,82822334.59999998,82771464.39999998,82720594.19999997,82669724,"",""
"TOTAL (EU27+3 with FR metropolitan)",449904883,451810539,454756466,457607992,460187001,462420157,464596110,466489828,468416599,470222494,472134243,474140194,475698706,476943110,477931115,478990884,480139155,481530907,482844233,484552314,486094677,487849253,489041532,490768914,492186388,493271435,494168696,494986863,495755700,496484900,497215197,498235275,499004288,500795436,502710583,504810181,506706042,508640821,510755371,512706826,513921002,513846899,515087269,516350903,517831271.2547569,519269587.312544,521173523.37033117,522627633.4281184,523905485.4859056,524747303.5436927,526246316.6014799,523931766.3024044,524943460.84334326,525955155.3842822,526966849.925221,527978544.4661599,528990239.00709873,530001933.54803765,531013628.08897656,532025322.6299155,533037017.1708544,533394538.4981196,533752059.8253848,534109581.15264976,534467102.4799149,534824623.80718017,535182145.13444525,535539666.46171045,535897187.7889754,536254709.1162406,536612230.4435057,536524750.5733908,536437270.7032757,536349790.8331608,536262310.9630458,536174831.09293085,536087351.2228159,535999871.3527008,535912391.48258597,535824911.6124709,535737431.74235594,"",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union - 27 countries (from 2020)",384326562,385949080,388420726.75,390892373.5,393364020.25,395835667,398037111,399967581,401903104,403662165,405466907,407369042,408894651,410107692,411006427,411907502,412876239,414088076,415218942,416715205,418030739,419504036,420413536,421912578,423104986,423960534,424641798,425273491,427482962,427998269,428473834,429240746,429723142,431190184,432762039,434416272,435816236,437227496,438725386,440047892,440660421,439942305,440552661,441257711,442883888,443666812,444802830,445534430,446208557,446446444,447319916,447207489,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union - 28 countries (2013-2020)",439872962,441729180,":",":",":",452066347,454258031,456170597,458087072,459871204,461751770,463712611,465218739,466410886,467368929,468389143,469495134,470831973,472079145,473711655,475187711,476842235,477925130,479561788,480893003,481904006,482736385,483512803,485877558,486577954,487259080,488240527,488962706,490691578,492555798,494598322,496436597,498300775,500297033,502090235,503170618,502964837,504047964,505163008,507235091,508520205,510181874,511378572,512482133,513093556,":",":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union - 27 countries (2007-2013)",435469610,437308029,":",":",":",447565620,449734595,451622165,453516363,455279744,457153675,459111142,460597191,461763965,462699342,463698160,464783282,466100932,467330695,468949690,470415155,472060056,473329265,475006017,476247848,477245113,478155218,478979775,481340746,482050494,482761345,483945121,484657212,486386194,488250073,490287461,492124110,493987245,495985066,497780439,498867771,498674980,499771980,500900868,502988282,504294889,505991205,507224359,508376640,509017310,510287293,":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Euro area - 19 countries  (from 2015)",285508883,286798638,":",":",":",293874224,295212458,296348308,297555091,298772287,300026000,301426708,302419395,303140259,303600009,304049567,304640663,305452191,306227897,307433114,308841704,310262295,311610504,313111944,314121560,314879272,315679276,316448320,318755544,319373924,320375247,321447131,322819636,324573948,326314018,328141448,329684938,331204579,333096775,334470255,335266424,334572589,335288924,336044966,337764352,338562121,339787987,340541142,341253004,341524067,342409476,342561034,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Euro area - 18 countries (2014)",282389942,283638201,":",":",":",290585714,291897664,293005775,294187553,295380797,296621806,298004498,298975711,299669586,300100298,300520869,301080275,301854752,302592602,303758312,305147996,306560327,307904205,309418015,310450264,311236281,312064064,312860307,315193283,315837523,316863173,317960133,319364999,321142451,322915089,324786228,326395103,327954596,329884170,331286399,332124448,331520001,332285283,333073061,334820880,335640859,336899429,337693238,338444103,338729883,339615386,339765354,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium",9660154,9650944,9695379,9726850,9756590,9788248,9813152,9823302,9837413,9841654,9855110,9863374,9854589,9858017,9853023,9857721,9858895,9864751,9875716,9927612,9947782,9986975,10021997,10068319,10100631,10130574,10143047,10170226,10192264,10213752,10239085,10263414,10309725,10355844,10396421,10445852,10511382,10584534,10666866,10753080,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11577347.333333334,11599927.666666668,11622508.000000002,11645088.333333336,11667668.66666667,11690249.000000004,11712829.333333338,11735409.666666672,11757990,11771679.1,11785368.2,11799057.299999999,11812746.399999999,11826435.499999998,11840124.599999998,11853813.699999997,11867502.799999997,11881191.899999997,11894881,11898091.6,11901302.2,11904512.799999999,11907723.399999999,11910933.999999998,11914144.599999998,11917355.199999997,11920565.799999997,11923776.399999997,11926987,"",""
"Bulgaria",8464264,8514883,8557906,8594493,8647440,8710049,8731434,8785763,8822602,8805462,8846417,8876652,8905581,8929332,8950144,8971214,8949880,8966462,8976255,8986636,8767308,8669269,8595465,8484863,8459763,8427418,8384715,8340936,8283200,8230371,8190876,8149468,7868815,7805506,7745147,7688573,7629371,7572673,7518002,7467119,7421766,7369431,7327224,7284552,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,6864742.222222222,6812936.444444444,6761130.666666666,6709324.888888888,6657519.11111111,6605713.333333332,6553907.555555554,6502101.777777776,6450296,6406938.3,6363580.6,6320222.899999999,6276865.199999999,6233507.499999999,6190149.799999999,6146792.099999999,6103434.3999999985,6060076.699999998,6016719,5980549.7,5944380.4,5908211.100000001,5872041.800000001,5835872.500000001,5799703.200000001,5763533.900000001,5727364.6000000015,5691195.300000002,5655026,"",""
"Czechia",9906474,9809667,9843962,9891302,9953230,10023688,10093551,10158327,10215183,10269012,10315669,10292717,10308465,10321186,10326526,10333900,10340335,10344119,10350517,10360034,10362102,10304607,10312548,10325697,10334013,10333161,10321344,10309137,10299125,10289621,10278098,10232027,10201182,10192649,10195347,10198855,10223577,10254233,10343422,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10701777,10708487.777777778,10715198.555555556,10721909.333333334,10728620.111111112,10735330.88888889,10742041.666666668,10748752.444444446,10755463.222222224,10762174,10748496.8,10734819.600000001,10721142.400000002,10707465.200000003,10693788.000000004,10680110.800000004,10666433.600000005,10652756.400000006,10639079.200000007,10625402,10615886.9,10606371.8,10596856.700000001,10587341.600000001,10577826.500000002,10568311.400000002,10558796.300000003,10549281.200000003,10539766.100000003,10530251,"",""
"Denmark",4906916,4950598,4975653,5007538,5036184,5054410,5065313,5079879,5096959,5111537,5122065,5123989,5119155,5116464,5112130,5111108,5116273,5124794,5129254,5129778,5135409,5146469,5162126,5180614,5196642,5215718,5251027,5275121,5294860,5313577,5330020,5349212,5368354,5383507,5397640,5411405,5427459,5447084,5475791,5511451,5534738,5560628,5580516,5602628,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5853770.888888889,5867496.777777778,5881222.666666667,5894948.555555556,5908674.444444445,5922400.333333334,5936126.222222223,5949852.111111112,5963578,5972770.5,5981963,5991155.5,6000348,6009540.5,6018733,6027925.5,6037118,6046310.5,6055503,6059771.7,6064040.4,6068309.100000001,6072577.800000001,6076846.500000001,6081115.200000001,6085383.900000001,6089652.6000000015,6093921.300000002,6098190,"",""
"Germany (until 1990 former territory of the FRG)",61194591,61001164,61502503,61809358,62101379,61991475,61644624,61441996,61352745,61321663,61439338,61657952,61712689,61546101,61306669,61049256,61020474,61140461,61238079,61715103,62679035,79753227,80274564,80974632,81338093,81538603,81817499,82012162,82057379,82037011,82163475,82259540,82440309,82536680,82531671,82500849,82437995,82314906,82217837,82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83188216.1111111,83221401.22222221,83254586.33333331,83287771.44444442,83320956.55555552,83354141.66666663,83387326.77777773,83420511.88888884,83453697,83426169.9,83398642.80000001,83371115.70000002,83343588.60000002,83316061.50000003,83288534.40000004,83261007.30000004,83233480.20000005,83205953.10000005,83178426,83127555.8,83076685.6,83025815.39999999,82974945.19999999,82924074.99999999,82873204.79999998,82822334.59999998,82771464.39999998,82720594.19999997,82669724,"",""
"Germany including former GDR",78269095,78069482,78556202,78820701,79052630,78882235,78464873,78209026,78110602,78073038,78179662,78397490,78418324,78248407,78008156,77709213,77660533,77780338,77899502,78389735,79112831,79753227,80274564,80974632,81338093,81538603,81817499,82012162,82057379,82037011,82163475,82259540,82440309,82536680,82531671,82500849,82437995,82314906,82217837,82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83188216.1111111,83221401.22222221,83254586.33333331,83287771.44444442,83320956.55555552,83354141.66666663,83387326.77777773,83420511.88888884,83453697,83426169.9,83398642.80000001,83371115.70000002,83343588.60000002,83316061.50000003,83288534.40000004,83261007.30000004,83233480.20000005,83205953.10000005,83178426,83127555.8,83076685.6,83025815.39999999,82974945.19999999,82924074.99999999,82873204.79999998,82822334.59999998,82771464.39999998,82720594.19999997,82669724,"",""
"Estonia",1351640,1368511,1385399,1399637,1412265,1424073,1434630,1444522,1455900,1464476,1472190,1482247,1493085,1503743,1513747,1523486,1534076,1546304,1558137,1565662,1570599,1567749,1554878,1511303,1476952,1448075,1425192,1405996,1393074,1379237,1401250,1392720,1383510,1375190,1366250,1358850,1350700,1342920,1338440,1335740,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1327664.3333333333,1325260.6666666665,1322856.9999999998,1320453.333333333,1318049.6666666663,1315645.9999999995,1313242.3333333328,1310838.666666666,1308435,1305747,1303059,1300371,1297683,1294995,1292307,1289619,1286931,1284243,1281555,1279021.8,1276488.6,1273955.4000000001,1271422.2000000002,1268889.0000000002,1266355.8000000003,1263822.6000000003,1261289.4000000004,1258756.2000000004,1256223,"",""
"Ireland",2943300,2971200,3012900,3060800,3111100,3163900,3215200,3260900,3303500,3354700,3392800,3432800,3473200,3498400,3522800,3542046,3534117,3545263,3534850,3515048,3506970,3520977,3547492,3569367,3583154,3597617,3620065,3654955,3693386,3732006,3777565,3832783,3899702,3964191,4028851,4111672,4208156,4340118,4457765,4521322,4549428,4570881,4589287,4609779,4637852,4677627,4726286,4784383,4830392,4904240,4964440,5006324,5061664.666666667,5117005.333333334,5172346.000000001,5227686.666666668,5283027.333333335,5338368.000000002,5393708.666666669,5449049.333333336,5504390,5544405,5584420,5624435,5664450,5704465,5744480,5784495,5824510,5864525,5904540,5935405.1,5966270.199999999,5997135.299999999,6028000.3999999985,6058865.499999998,6089730.599999998,6120595.699999997,6151460.799999997,6182325.899999997,6213191,"",""
